,Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Ca44,Ti47,Mn55,Fe57,Cu65,Ga71,Sr88,Y89,Ba138,Ce140,Pb208,Dist from rim,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,FeO,SrO,Si,Ti,Al,Fe,Mg,Ca,Na,K,Sr,An
0,,10.64,28482.45,92.85,111176.94,177155.45,57.95,1582.7,58762.54,61794.71,64.68,84.11,1186.97,10.83,17.78,772.36,0.32,87.16,1.87,1.57,666.6,5.34,0.02,29.23,52.73,0.02,0.27,12.03,0.02,0.02,0.21,0.12,2.374,0.001,1.551,0.008,0.001,0.58,0.466,0.016,0.003,55.0
1,,7.71,31090.78,129.99,119917.86,206328.24,67.95,1420.57,67521.61,78100.83,64.68,96.25,2264.01,10.83,17.13,867.6,0.46,107.74,2.21,1.17,666.03,5.08,0.03,27.45,53.48,0.02,0.21,13.24,0.01,0.02,0.35,0.12,2.419,0.0,1.463,0.013,0.002,0.642,0.445,0.012,0.003,58.0
2,,9.47,33799.49,121.73,127592.78,216384.16,50.96,1855.77,74339.22,76227.5,100.49,114.64,2156.22,9.09,15.03,918.43,0.41,100.85,3.08,1.35,665.47,5.28,0.02,27.94,53.65,0.01,0.26,12.36,0.02,0.02,0.32,0.12,2.422,0.001,1.486,0.012,0.001,0.598,0.462,0.015,0.003,56.0
3,,9.86,36305.18,137.55,136928.95,217350.61,89.94,1747.6,76044.3,75462.69,100.49,89.66,2220.89,10.2,19.24,1012.33,0.36,109.36,3.68,1.92,664.9,5.53,0.03,29.23,52.54,0.02,0.24,11.93,0.02,0.01,0.32,0.13,2.362,0.001,1.549,0.012,0.002,0.575,0.482,0.014,0.003,54.0
4,,10.84,34765.99,123.79,127274.73,251015.12,56.95,1521.73,77993.3,88621.86,62.58,92.78,2307.13,8.77,22.64,1016.99,0.27,113.19,2.74,1.7,664.33,4.91,0.02,25.18,56.24,0.01,0.19,12.99,0.01,0.01,0.31,0.12,2.557,0.0,1.349,0.012,0.001,0.633,0.433,0.011,0.003,59.0
5,,12.4,38217.87,114.16,139156.69,231706.6,84.94,1936.42,83598.69,85405.12,77.32,105.27,2436.51,10.04,19.08,1011.8,0.15,120.94,2.88,2.32,663.77,5.5,0.02,28.06,52.91,0.02,0.25,12.75,0.01,0.01,0.33,0.12,2.383,0.0,1.49,0.012,0.001,0.615,0.48,0.014,0.003,55.0
6,,10.06,37475.79,126.55,137045.22,225294.21,59.95,1551.02,88231.45,83388.56,52.04,113.94,2436.51,12.74,17.78,1018.24,0.27,119.92,2.41,1.83,663.2,5.52,0.02,28.3,52.68,0.02,0.2,12.75,0.01,0.02,0.34,0.13,2.372,0.0,1.502,0.013,0.001,0.615,0.482,0.011,0.003,56.0
7,,10.25,38276.51,151.32,141566.29,250582.87,50.96,1639.24,84817.64,88269.54,62.58,97.29,2867.97,9.09,21.5,1001.07,0.39,118.9,2.34,1.22,662.63,5.23,0.03,27.13,54.36,0.01,0.2,12.53,0.01,0.01,0.37,0.12,2.458,0.0,1.446,0.014,0.002,0.607,0.458,0.012,0.003,56.0
8,,9.08,37129.13,133.43,145881.17,215597.14,70.95,2087.61,81161.2,89475.47,64.68,109.43,2242.45,11.31,20.86,1073.3,0.41,127.93,2.27,1.88,662.06,5.44,0.02,29.98,50.17,0.02,0.27,13.62,0.01,0.02,0.31,0.13,2.253,0.0,1.586,0.012,0.001,0.655,0.474,0.015,0.003,57.0
9,,10.25,37836.07,129.3,138292.5,240310.83,63.95,2188.94,92378.27,89423.9,77.32,112.55,2199.33,7.97,25.55,1059.83,0.34,125.55,3.41,2.19,661.5,5.32,0.02,27.25,53.62,0.02,0.27,13.05,0.01,0.02,0.3,0.13,2.421,0.0,1.45,0.011,0.001,0.631,0.466,0.016,0.003,57.0
