,Ca44,Na23,K39,Al27,Si29,An
0,61794.71,28482.45,1582.7,111176.94,177155.45,55.0
1,78100.83,31090.78,1420.57,119917.86,206328.24,58.0
2,76227.5,33799.49,1855.77,127592.78,216384.16,56.0
3,75462.69,36305.18,1747.6,136928.95,217350.61,54.0
4,88621.86,34765.99,1521.73,127274.73,251015.12,59.0
5,85405.12,38217.87,1936.42,139156.69,231706.6,55.0
6,83388.56,37475.79,1551.02,137045.22,225294.21,56.0
7,88269.54,38276.51,1639.24,141566.29,250582.87,56.0
8,89475.47,37129.13,2087.61,145881.17,215597.14,57.0
9,89423.9,37836.07,2188.94,138292.5,240310.83,57.0
10,92612.01,39725.06,2007.63,151429.54,242561.77,56.0
11,84116.12,39232.93,2074.7,148105.54,238751.05,54.0
12,86908.94,38414.36,2140.01,154817.76,255152.07,56.0
13,91858.67,43052.66,2325.66,163682.54,273216.87,54.0
14,94101.51,40857.19,2173.53,147076.59,262282.18,56.0
15,91795.65,38581.02,1761.71,164658.15,268519.22,57.0
16,101497.46,44097.88,2031.04,178836.18,287399.55,56.0
17,96985.99,45265.29,1792.93,176201.27,299131.46,55.0
18,99145.77,44151.62,1993.09,184700.42,291681.26,56.0
19,100873.01,50532.0,1843.03,179155.53,288312.97,53.0
20,108254.64,44102.92,1852.8,174127.4,294737.59,58.0
21,111986.99,42959.29,1814.91,176200.54,321959.15,59.0
22,110517.54,45928.37,1746.07,178265.01,324150.98,57.0
23,100159.77,46488.81,1730.09,172387.05,293020.82,55.0
24,92354.21,48280.48,1831.62,168546.74,253816.59,52.0
25,95639.71,41912.15,1544.75,174752.37,266533.31,56.0
26,97802.35,48790.33,1643.47,153054.54,293169.67,53.0
27,94955.11,46560.26,1666.19,168139.22,228691.04,53.0
28,91844.34,41386.17,1336.12,145863.88,267636.34,56.0
29,90535.3,38664.04,1379.31,151630.33,238549.19,57.0
30,70355.42,36843.97,1313.77,148034.18,274670.6,52.0
31,81271.75,45758.79,1697.71,149837.38,280789.38,50.0
32,91807.11,42927.55,1805.61,152649.67,263334.23,55.0
33,83855.46,43278.63,1619.96,173229.46,249027.18,52.0
34,82171.18,35787.58,1504.22,168594.22,256094.06,56.0
35,109546.5,38737.12,1429.08,166806.66,278666.86,61.0
36,78080.78,39677.32,1478.5,175740.69,252052.92,52.0
37,89372.35,46550.93,1626.3,149819.54,260981.34,52.0
38,80154.62,41200.04,1591.44,146243.6,258037.15,52.0
39,76236.09,35843.83,1211.61,175902.33,219774.87,54.0
40,85556.93,35479.81,1214.31,149419.78,240851.14,58.0
41,91119.65,35725.19,1240.86,148711.94,280550.84,59.0
42,83196.64,37662.67,1586.21,158421.59,283576.57,55.0
43,87974.51,33857.99,1179.52,154110.55,249494.09,59.0
44,83202.37,36791.66,1668.89,164228.02,252183.43,56.0
45,85674.37,37908.95,1329.01,149594.6,277094.86,56.0
46,88564.58,38115.03,1583.4,168022.58,279313.2,57.0
47,79040.36,40657.78,1166.71,190087.88,264133.48,52.0
48,99406.43,41331.34,1545.18,151806.61,278140.85,57.0
49,89956.69,41807.54,1559.29,162918.25,296807.09,55.0
50,83543.24,40045.09,1149.87,158128.96,285415.68,54.0
51,95605.34,35982.02,1291.59,156332.44,286745.04,60.0
52,91726.91,37968.4,1538.44,150728.83,285301.51,58.0
53,90523.85,39158.15,1302.1,158476.3,246861.85,57.0
54,79765.06,38046.11,1267.18,154292.78,288855.32,54.0
55,84964.0,38431.05,1503.09,137125.81,243752.5,55.0
56,86659.74,36128.51,1619.39,168464.97,270378.69,57.0
57,80824.9,38150.31,1332.45,143457.58,243403.86,54.0
58,91910.22,35653.2,1017.72,150965.84,282681.49,59.0
59,94247.6,35827.01,1618.39,150911.87,268466.2,60.0
60,79501.54,39571.55,1368.97,147102.58,252452.55,53.0
61,72429.27,39554.73,1337.09,157957.72,258159.48,51.0
62,86115.49,38210.65,1052.31,174555.87,258575.41,56.0
63,80303.58,38098.76,1463.96,149052.24,279981.99,54.0
64,83801.04,36935.23,1386.75,169481.37,259170.77,56.0
65,95350.4,35272.76,1269.44,163141.91,277981.81,60.0
66,89839.25,33538.03,1386.35,156603.3,261955.92,60.0
67,86447.77,34664.98,1582.5,172310.21,259040.29,58.0
68,99048.37,31397.73,1298.23,149032.84,266678.04,64.0
69,78427.37,34369.0,1426.14,157858.92,255231.59,56.0
70,76559.77,37019.0,1155.47,162609.51,244203.11,54.0
71,90532.44,32043.17,1266.54,135737.36,261841.75,61.0
72,74268.23,39774.1,1454.06,164525.59,271230.96,51.0
73,72864.66,37764.7,1386.72,165459.57,288145.79,52.0
74,86971.96,33905.12,1423.17,161397.81,261523.68,59.0
75,89827.79,37792.82,1376.44,156707.5,227946.84,57.0
76,79481.49,32590.74,1213.61,153074.67,262424.88,58.0
77,84540.06,38184.09,1383.95,149161.55,301370.18,55.0
78,81541.01,35290.27,1361.27,152286.14,221587.47,56.0
79,83276.85,36362.32,1034.07,152277.9,227514.59,56.0
80,76284.78,37193.35,1396.52,150604.87,269612.05,54.0
